,,食品名,水分,水溶性食物繊維,不溶性食物繊維,食物繊維総量,低分子量水溶性食物繊維,高分子量水溶性食物繊維,不溶性食物繊維,難消化性でん粉,食物繊維総量,備考
,,成分識別子,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
,,単位,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,g/100 g,
06047,516,（かぼちゃ類） 日本かぼちゃ 果実 ゆで,84.0,0.8,2.8,3.6,-,-,-,-,-,
06048,517,（かぼちゃ類） 西洋かぼちゃ 果実 生,76.2,0.9,2.6,3.5,-,-,-,-,-,
06049,518,（かぼちゃ類） 西洋かぼちゃ 果実 ゆで,75.7,0.9,3.2,4.1,-,-,-,-,-,
06332,519,（かぼちゃ類） 西洋かぼちゃ 果実 焼き,68.2,1.3,3.9,5.3,-,-,-,-,-,
06050,520,（かぼちゃ類） 西洋かぼちゃ 果実 冷凍,78.1,0.9,3.3,4.2,-,-,-,-,-,
06051,521,（かぼちゃ類） そうめんかぼちゃ 果実 生,92.4,0.3,1.2,1.5,-,-,-,-,-,
06052,522,からしな 葉 生,90.3,0.9,2.8,3.7,-,-,-,-,-,
06053,523,からしな 塩漬,84.5,1.0,4.0,5.0,-,-,-,-,-,
06054,524,カリフラワー 花序 生,90.8,0.4,2.5,2.9,-,-,-,-,-,
06055,525,カリフラワー 花序 ゆで,91.5,0.7,2.5,3.2,-,-,-,-,-,
06056,526,かんぴょう 乾,19.8,6.8,23.3,30.1,-,-,-,-,-,
06057,527,かんぴょう ゆで,91.6,1.9,3.4,5.3,-,-,-,-,-,
06364,528,かんぴょう 甘煮,57.6,2.6,2.9,5.5,-,-,-,-,-,
06058,529,きく 花びら 生,91.5,0.8,2.6,3.4,-,-,-,-,-,
06059,530,きく 花びら ゆで,92.9,0.8,2.1,2.9,-,-,-,-,-,
06060,531,きく 菊のり,9.5,8.2,21.4,29.6,-,-,-,-,-,
06061,532,（キャベツ類） キャベツ 結球葉 生,92.7,0.4,1.4,1.8,-,-,-,-,-,
06062,533,（キャベツ類） キャベツ 結球葉 ゆで,93.9,0.5,1.5,2.0,-,-,-,-,-,
06333,534,（キャベツ類） キャベツ 結球葉 油いため,85.7,0.6,1.6,2.2,-,-,-,-,-,
06063,535,（キャベツ類） グリーンボール 結球葉 生,93.4,0.3,1.3,1.6,-,-,-,-,-,
06064,536,（キャベツ類） レッドキャベツ 結球葉 生,90.4,0.6,2.2,2.8,-,-,-,-,-,
06065,537,きゅうり 果実 生,95.4,0.2,0.9,1.1,-,-,-,-,-,
06066,538,きゅうり 漬物 塩漬,92.1,0.3,1.0,1.3,-,-,-,-,-,
06067,539,きゅうり 漬物 しょうゆ漬,81.0,0.7,2.7,3.4,-,-,-,-,-,
06068,540,きゅうり 漬物 ぬかみそ漬,85.6,0.4,1.1,1.5,-,-,-,-,-,
06069,541,きゅうり 漬物 ピクルス スイート型,80.0,0.3,1.4,1.7,-,-,-,-,-,
06070,542,きゅうり 漬物 ピクルス サワー型,93.4,0.3,1.1,1.4,-,-,-,-,-,
06071,543,ぎょうじゃにんにく 葉 生,88.8,0.5,2.8,3.3,-,-,-,-,-,
06075,544,キンサイ 茎葉 生,93.5,0.3,2.2,2.5,-,-,-,-,-,
06076,545,キンサイ 茎葉 ゆで,93.6,0.6,2.3,2.9,-,-,-,-,-,
06077,546,クレソン 茎葉 生,94.1,0.2,2.3,2.5,-,-,-,-,-,
06078,547,くわい 塊茎 生,65.5,0.6,1.8,2.4,-,-,-,-,-,
06079,548,くわい 塊茎 ゆで,65.0,0.8,2.0,2.8,-,-,-,-,-,
06080,549,ケール 葉 生,90.2,0.5,3.2,3.7,-,-,-,-,-,
06081,550,コールラビ 球茎 生,93.2,0.3,1.6,1.9,-,-,-,-,-,
06082,551,コールラビ 球茎 ゆで,93.1,0.7,1.6,2.3,-,-,-,-,-,
06083,552,こごみ 若芽 生,90.7,0.5,4.7,5.2,-,-,-,-,-,
06084,553,ごぼう 根 生,81.7,2.3,3.4,5.7,-,-,-,-,-,
06085,554,ごぼう 根 ゆで,83.9,2.7,3.4,6.1,-,-,-,-,-,
06086,555,こまつな 葉 生,94.1,0.4,1.5,1.9,-,-,-,-,-,
06087,556,こまつな 葉 ゆで,94.0,0.6,1.8,2.4,-,-,-,-,-,
06385,557,コリアンダー 葉 生,92.4,-,-,-,Tr,0.8,3.3,-,4.2,
06088,558,ザーサイ 漬物,77.6,0.9,3.7,4.6,-,-,-,-,-,
06089,559,さんとうさい 葉 生,94.7,0.4,1.8,2.2,-,-,-,-,-,
06090,560,さんとうさい 葉 ゆで,94.3,0.7,1.8,2.5,-,-,-,-,-,
06091,561,さんとうさい 塩漬,90.3,0.5,2.5,3.0,-,-,-,-,-,
06092,562,しかくまめ 若ざや 生,92.8,0.2,3.0,3.2,-,-,-,-,-,
06093,563,ししとう 果実 生,91.4,0.3,3.3,3.6,-,-,-,-,-,
06094,564,ししとう 果実 油いため,88.3,0.3,3.3,3.6,-,-,-,-,-,
06095,565,しそ 葉 生,86.7,0.8,6.5,7.3,-,-,-,-,-,
06096,566,しそ 実 生,85.7,0.8,8.1,8.9,-,-,-,-,-,
06097,567,じゅうろくささげ 若ざや 生,91.9,0.3,3.9,4.2,-,-,-,-,-,
06098,568,じゅうろくささげ 若ざや ゆで,90.2,1.2,3.3,4.5,-,-,-,-,-,
06099,569,しゅんぎく 葉 生,91.8,0.8,2.4,3.2,-,-,-,-,-,
06100,570,しゅんぎく 葉 ゆで,91.1,1.1,2.6,3.7,-,-,-,-,-,
06101,571,じゅんさい 若葉 水煮びん詰,98.6,0.4,0.6,1.0,-,-,-,-,-,
06102,572,（しょうが類） 葉しょうが 根茎 生,96.3,0.1,1.5,1.6,-,-,-,-,-,
06103,573,（しょうが類） しょうが 根茎 皮なし 生,91.4,0.2,1.9,2.1,-,-,-,-,-,
06365,574,（しょうが類） しょうが 根茎 皮なし 生 おろし,81.6,0.2,7.3,7.4,-,-,-,-,-,
06366,575,（しょうが類） しょうが 根茎 皮なし 生 おろし汁,95.1,0.2,0.2,0.3,-,-,-,-,-,
06104,576,（しょうが類） しょうが 漬物 酢漬,89.2,0.2,2.0,2.2,-,-,-,-,-,
06105,577,（しょうが類） しょうが 漬物 甘酢漬,86.0,0.2,1.6,1.8,-,-,-,-,-,
06386,578,（しょうが類） 新しょうが 根茎 生,96.0,-,-,-,0,0.2,1.7,Tr,1.9,
06106,579,しろうり 果実 生,95.3,0.2,1.0,1.2,-,-,-,-,-,
06107,580,しろうり 漬物 塩漬,92.8,0.3,1.9,2.2,-,-,-,-,-,
06108,581,しろうり 漬物 奈良漬,44.0,0.8,1.8,2.6,-,-,-,-,-,
06109,582,ずいき 生ずいき 生,94.5,0.4,1.2,1.6,-,-,-,-,-,
06110,583,ずいき 生ずいき ゆで,96.1,0.3,1.8,2.1,-,-,-,-,-,
06111,584,ずいき 干しずいき 乾,9.9,4.8,21.0,25.8,-,-,-,-,-,
06112,585,ずいき 干しずいき ゆで,95.5,0.3,2.8,3.1,-,-,-,-,-,
06387,586,すいぜんじな 葉 生,93.1,-,-,-,Tr,1.5,2.4,-,4.0,
06113,587,すぐきな 葉 生,90.5,0.7,3.3,4.0,-,-,-,-,-,
06114,588,すぐきな 根 生,93.7,0.6,1.1,1.7,-,-,-,-,-,
06115,589,すぐきな すぐき漬,87.4,0.9,4.3,5.2,-,-,-,-,-,
06116,590,ズッキーニ 果実 生,94.9,0.2,1.1,1.3,-,-,-,-,-,
06117,591,せり 茎葉 生,93.4,0.4,2.1,2.5,-,-,-,-,-,
06118,592,せり 茎葉 ゆで,93.6,0.6,2.2,2.8,-,-,-,-,-,
06119,593,セロリ 葉柄 生,94.7,0.3,1.2,1.5,-,-,-,-,-,
06120,594,ぜんまい 生ぜんまい 若芽 生,90.9,0.7,3.1,3.8,-,-,-,-,-,
06121,595,ぜんまい 生ぜんまい 若芽 ゆで,94.2,0.6,2.9,3.5,-,-,-,-,-,
06122,596,ぜんまい 干しぜんまい 干し若芽 乾,8.5,6.1,28.7,34.8,-,-,-,-,-,
06123,597,ぜんまい 干しぜんまい 干し若芽 ゆで,91.2,0.7,4.5,5.2,-,-,-,-,-,
06124,598,そらまめ 未熟豆 生,72.3,0.2,2.4,2.6,-,-,-,-,-,
06125,599,そらまめ 未熟豆 ゆで,71.3,0.4,3.6,4.0,-,-,-,-,-,
06126,600,タアサイ 葉 生,94.3,0.2,1.7,1.9,-,-,-,-,-,
06127,601,タアサイ 葉 ゆで,95.0,0.3,1.8,2.1,-,-,-,-,-,
06128,602,（だいこん類） かいわれだいこん 芽ばえ 生,93.4,0.3,1.6,1.9,-,-,-,-,-,
06129,603,（だいこん類） 葉だいこん 葉 生,92.6,0.5,2.1,2.6,-,-,-,-,-,
06130,604,（だいこん類） だいこん 葉 生,90.6,0.8,3.2,4.0,-,-,-,-,-,
06131,605,（だいこん類） だいこん 葉 ゆで,91.3,0.8,2.8,3.6,-,-,-,-,-,
06132,606,（だいこん類） だいこん 根 皮つき 生,94.6,0.5,0.9,1.4,-,-,-,-,-,
06133,607,（だいこん類） だいこん 根 皮つき ゆで,94.4,0.5,1.1,1.6,-,-,-,-,-,
06134,608,（だいこん類） だいこん 根 皮なし 生,94.6,0.5,0.8,1.3,-,-,-,-,-,
06367,609,（だいこん類） だいこん 根 皮なし 生 おろし,90.5,1.4,3.7,5.1,-,-,-,-,-,
06368,610,（だいこん類） だいこん 根 皮なし 生 おろし汁,96.5,Tr,Tr,0.1,-,-,-,-,-,
06369,611,（だいこん類） だいこん 根 皮なし 生 おろし水洗い,91.4,1.0,3.8,4.7,-,-,-,-,-,
06135,612,（だいこん類） だいこん 根 皮なし ゆで,94.8,0.8,0.9,1.7,-,-,-,-,-,
06136,613,（だいこん類） 切干しだいこん 乾,8.4,5.2,16.1,21.3,-,-,-,-,-,
06334,614,（だいこん類） 切干しだいこん ゆで,94.6,0.6,3.2,3.7,-,-,-,-,-,
06335,615,（だいこん類） 切干しだいこん 油いため,84.5,1.5,4.1,5.6,-,-,-,-,-,
06388,616,（だいこん類） 漬物 いぶりがっこ,73.8,-,-,-,0.3,1.0,5.8,-,7.1,
06137,617,（だいこん類） 漬物 ぬかみそ漬,87.1,0.7,1.1,1.8,-,-,-,-,-,
06138,618,（だいこん類） 漬物 たくあん漬 塩押しだいこん漬,85.0,0.7,1.6,2.3,-,-,-,-,-,
06139,619,（だいこん類） 漬物 たくあん漬 干しだいこん漬,88.8,0.6,3.1,3.7,-,-,-,-,-,
06140,620,（だいこん類） 漬物 守口漬,46.2,1.0,2.3,3.3,-,-,-,-,-,
06141,621,（だいこん類） 漬物 べったら漬,83.1,0.6,1.0,1.6,-,-,-,-,-,
06142,622,（だいこん類） 漬物 みそ漬,79.0,0.5,1.6,2.1,-,-,-,-,-,
06143,623,（だいこん類） 漬物 福神漬,58.6,0.8,3.1,3.9,-,-,-,-,-,
06144,624,（たいさい類） つまみな 葉 生,92.3,0.3,2.0,2.3,-,-,-,-,-,
06145,625,（たいさい類） たいさい 葉 生,93.7,0.4,1.2,1.6,-,-,-,-,-,
06146,626,（たいさい類） たいさい 塩漬,90.9,0.2,2.3,2.5,-,-,-,-,-,
06147,627,たかな 葉 生,92.7,0.8,1.7,2.5,-,-,-,-,-,
06148,628,たかな たかな漬,87.2,0.8,3.2,4.0,-,-,-,-,-,
06149,629,たけのこ 若茎 生,90.8,0.3,2.5,2.8,-,-,-,-,-,
06150,630,たけのこ 若茎 ゆで,89.9,0.4,2.9,3.3,-,-,-,-,-,
06151,631,たけのこ 水煮缶詰,92.8,0.5,1.8,2.3,-,-,-,-,-,
06152,632,たけのこ めんま 塩蔵 塩抜き,93.9,0.3,3.2,3.5,-,-,-,-,-,
06153,633,（たまねぎ類） たまねぎ りん茎 生,90.1,0.4,1.0,1.5,-,-,-,-,-,
06154,634,（たまねぎ類） たまねぎ りん茎 水さらし,93.0,0.5,1.0,1.5,-,-,-,-,-,
06155,635,（たまねぎ類） たまねぎ りん茎 ゆで,91.5,0.7,1.0,1.7,-,-,-,-,-,
06336,636,（たまねぎ類） たまねぎ りん茎 油いため,80.1,1.7,0.9,2.7,-,-,-,-,-,
06156,638,（たまねぎ類） 赤たまねぎ りん茎 生,89.6,0.6,1.1,1.7,-,-,-,-,-,
06337,639,（たまねぎ類） 葉たまねぎ りん茎及び葉 生,89.5,0.7,2.3,3.0,-,-,-,-,-,
06157,640,たらのめ 若芽 生,90.2,1.1,3.1,4.2,-,-,-,-,-,
06158,641,たらのめ 若芽 ゆで,90.8,1.1,2.5,3.6,-,-,-,-,-,
06159,642,チコリ 若芽 生,94.7,0.2,0.9,1.1,-,-,-,-,-,
06376,643,ちぢみゆきな 葉 生,88.1,1.3,2.6,3.9,-,-,-,-,-,
06377,644,ちぢみゆきな 葉 ゆで,89.1,1.5,2.8,4.3,-,-,-,-,-,
06160,645,チンゲンサイ 葉 生,96.0,0.2,1.0,1.2,-,-,-,-,-,
06161,646,チンゲンサイ 葉 ゆで,95.3,0.3,1.2,1.5,-,-,-,-,-,
06338,647,チンゲンサイ 葉 油いため,92.6,0.4,1.0,1.4,-,-,-,-,-,
06162,648,つくし 胞子茎 生,86.9,1.2,6.9,8.1,-,-,-,-,-,
06163,649,つくし 胞子茎 ゆで,88.9,1.1,5.6,6.7,-,-,-,-,-,
06164,650,つるな 茎葉 生,93.8,0.5,1.8,2.3,-,-,-,-,-,
06390,651,つるにんじん 根 生,77.7,-,-,-,8.2,2.5,6.4,-,17.1,
06165,652,つるむらさき 茎葉 生,95.1,0.6,1.6,2.2,-,-,-,-,-,
06166,653,つるむらさき 茎葉 ゆで,94.5,0.5,2.6,3.1,-,-,-,-,-,
06167,654,つわぶき 葉柄 生,93.3,0.4,2.1,2.5,-,-,-,-,-,
06168,655,つわぶき 葉柄 ゆで,95.0,0.2,2.1,2.3,-,-,-,-,-,
06169,656,とうがらし 葉･果実 生,86.7,0.7,5.0,5.7,-,-,-,-,-,
06170,657,とうがらし 葉･果実 油いため,79.5,0.8,5.5,6.3,-,-,-,-,-,
06171,658,とうがらし 果実 生,75.0,1.4,8.9,10.3,-,-,-,-,-,
06172,659,とうがらし 果実 乾,8.8,5.4,41.0,46.4,-,-,-,-,-,
06173,660,とうがん 果実 生,95.2,0.4,0.9,1.3,-,-,-,-,-,
06174,661,とうがん 果実 ゆで,95.3,0.5,1.0,1.5,-,-,-,-,-,
06175,662,（とうもろこし類） スイートコーン 未熟種子 生,77.1,0.3,2.7,3.0,-,-,-,-,-,
06176,663,（とうもろこし類） スイートコーン 未熟種子 ゆで,75.4,0.3,2.8,3.1,-,-,-,-,-,
06339,664,（とうもろこし類） スイートコーン 未熟種子 電子レンジ調理,73.5,0.3,3.1,3.4,-,-,-,-,-,
06177,665,（とうもろこし類） スイートコーン 未熟種子 穂軸つき 冷凍,75.6,0.3,2.5,2.8,-,-,-,-,-,
06178,666,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍,75.5,0.2,2.6,2.8,0.1,0.6,4.1,0.2,4.8,
06378,667,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍 ゆで,76.5,-,-,-,0.1,0.6,5.5,0.2,6.2,
06379,668,（とうもろこし類） スイートコーン 未熟種子 カーネル 冷凍 油いため,71.8,-,-,-,0.1,0.6,4.0,0.3,4.7,
06179,669,（とうもろこし類） スイートコーン 缶詰 クリームスタイル,78.2,0.2,1.6,1.8,-,-,-,-,-,
06180,670,（とうもろこし類） スイートコーン 缶詰 ホールカーネルスタイル,78.4,0.7,2.6,3.3,-,-,-,-,-,
06181,671,（とうもろこし類） ヤングコーン 幼雌穂 生,90.9,0.2,2.5,2.7,-,-,-,-,-,
06182,672,（トマト類） 赤色トマト 果実 生,94.0,0.3,0.7,1.0,-,-,-,-,-,
06183,673,（トマト類） 赤色ミニトマト 果実 生,91.0,0.4,1.0,1.4,-,-,-,-,-,
06391,674,（トマト類） 黄色トマト 果実 生,94.7,-,-,-,Tr,0.3,0.9,-,1.3,
06370,675,（トマト類） ドライトマト,9.5,6.4,15.3,21.7,-,-,-,-,-,
06184,676,（トマト類） 加工品 ホール 食塩無添加,93.3,0.5,0.8,1.3,-,-,-,-,-,
06185,677,（トマト類） 加工品 トマトジュース 食塩添加,94.1,0.3,0.4,0.7,-,-,-,-,-,
06340,678,（トマト類） 加工品 トマトジュース 食塩無添加,94.1,0.3,0.4,0.7,-,-,-,-,-,
06186,679,（トマト類） 加工品 ミックスジュース 食塩添加,94.2,0.4,0.3,0.7,-,-,-,-,-,
06341,680,（トマト類） 加工品 ミックスジュース 食塩無添加,94.2,0.4,0.3,0.7,-,-,-,-,-,
06187,681,トレビス 葉 生,94.1,0.5,1.5,2.0,-,-,-,-,-,
06188,682,とんぶり ゆで,76.7,0.6,6.5,7.1,-,-,-,-,-,
06189,683,ながさきはくさい 葉 生,93.9,0.4,1.8,2.2,-,-,-,-,-,
06190,684,ながさきはくさい 葉 ゆで,93.2,0.7,1.7,2.4,-,-,-,-,-,
06191,685,（なす類） なす 果実 生,93.2,0.3,1.9,2.2,-,-,-,-,-,
06192,686,（なす類） なす 果実 ゆで,94.0,0.7,1.4,2.1,-,-,-,-,-,
06342,687,（なす類） なす 果実 油いため,85.8,0.9,1.8,2.6,-,-,-,-,-,
06343,688,（なす類） なす 果実 天ぷら,71.9,0.7,1.3,1.9,-,-,-,-,-,
06193,689,（なす類） べいなす 果実 生,93.0,0.3,2.1,2.4,-,-,-,-,-,
06194,690,（なす類） べいなす 果実 素揚げ,74.8,0.7,1.1,1.8,-,-,-,-,-,
06195,691,（なす類） 漬物 塩漬,90.4,0.5,2.2,2.7,-,-,-,-,-,
06196,692,（なす類） 漬物 ぬかみそ漬,88.7,0.6,2.1,2.7,-,-,-,-,-,
06197,693,（なす類） 漬物 こうじ漬,69.1,0.8,3.4,4.2,-,-,-,-,-,
06198,694,（なす類） 漬物 からし漬,61.2,1.0,3.2,4.2,-,-,-,-,-,
06199,695,（なす類） 漬物 しば漬,86.4,0.6,3.8,4.4,-,-,-,-,-,
06200,696,なずな 葉 生,86.8,0.5,4.9,5.4,-,-,-,-,-,
06201,697,（なばな類） 和種なばな 花らい・茎 生,88.4,0.7,3.5,4.2,-,-,-,-,-,
06202,698,（なばな類） 和種なばな 花らい・茎 ゆで,90.2,1.3,3.0,4.3,-,-,-,-,-,
06203,699,（なばな類） 洋種なばな 茎葉 生,88.3,0.7,3.0,3.7,-,-,-,-,-,
06204,700,（なばな類） 洋種なばな 茎葉 ゆで,90.0,1.1,3.0,4.1,-,-,-,-,-,
06205,701,にがうり 果実 生,94.4,0.5,2.1,2.6,-,-,-,-,-,
06206,702,にがうり 果実 油いため,90.3,0.5,2.3,2.8,-,-,-,-,-,
06207,703,（にら類） にら 葉 生,92.6,0.5,2.2,2.7,-,-,-,-,-,
06208,704,（にら類） にら 葉 ゆで,89.8,0.8,3.5,4.3,-,-,-,-,-,
06344,705,（にら類） にら 葉 油いため,85.8,1.3,2.2,3.5,-,-,-,-,-,
06209,706,（にら類） 花にら 花茎・花らい 生,91.4,0.5,2.3,2.8,-,-,-,-,-,
06210,707,（にら類） 黄にら 葉 生,94.0,0.4,1.6,2.0,-,-,-,-,-,
06211,708,（にんじん類） 葉にんじん 葉 生,93.5,0.5,2.2,2.7,-,-,-,-,-,
06212,709,（にんじん類） にんじん 根 皮つき 生,89.1,0.7,2.1,2.8,-,-,-,-,-,
06213,710,（にんじん類） にんじん 根 皮つき ゆで,90.2,1.0,1.9,3.0,-,-,-,-,-,
06214,711,（にんじん類） にんじん 根 皮なし 生,89.7,0.6,1.8,2.4,-,-,-,-,-,
06215,712,（にんじん類） にんじん 根 皮なし ゆで,90.0,0.8,2.0,2.8,-,-,-,-,-,
06345,713,（にんじん類） にんじん 根 皮なし 油いため,79.1,1.0,2.1,3.1,-,-,-,-,-,
06346,714,（にんじん類） にんじん 根 皮なし 素揚げ,80.6,0.3,0.8,1.1,-,-,-,-,-,
06347,715,（にんじん類） にんじん 根 皮 生,90.4,1.3,2.5,3.8,-,-,-,-,-,
06216,716,（にんじん類） にんじん 根 冷凍,90.2,1.0,1.8,2.9,0.1,1.1,2.9,0,4.1,
06380,717,（にんじん類） にんじん 根 冷凍 ゆで,91.7,-,-,-,Tr,1.5,1.9,0,3.5,
06381,718,（にんじん類） にんじん 根 冷凍 油いため,85.2,-,-,-,0.1,1.5,2.7,0,4.2,
06348,719,（にんじん類） にんじん グラッセ,83.8,1.4,1.2,2.6,-,-,-,-,-,
06217,720,（にんじん類） にんじん ジュース 缶詰,92.0,0.2,0,0.2,-,-,-,-,-,
06218,721,（にんじん類） きんとき 根 皮つき 生,87.3,1.5,2.4,3.9,-,-,-,-,-,
06219,722,（にんじん類） きんとき 根 皮つき ゆで,87.7,2.0,2.3,4.3,-,-,-,-,-,
06220,723,（にんじん類） きんとき 根 皮なし 生,87.1,1.4,2.2,3.6,-,-,-,-,-,
06221,724,（にんじん類） きんとき 根 皮なし ゆで,87.1,1.9,2.2,4.1,-,-,-,-,-,
06222,725,（にんじん類） ミニキャロット 根 生,90.9,0.6,2.1,2.7,-,-,-,-,-,
06223,726,（にんにく類） にんにく りん茎 生,63.9,4.1,2.1,6.2,-,-,-,-,-,
06349,727,（にんにく類） にんにく りん茎 油いため,53.7,4.5,2.3,6.8,-,-,-,-,-,
06224,728,（にんにく類） 茎にんにく 花茎 生,86.7,0.7,3.1,3.8,-,-,-,-,-,
06225,729,（にんにく類） 茎にんにく 花茎 ゆで,86.9,1.0,2.8,3.8,-,-,-,-,-,
06226,730,（ねぎ類） 根深ねぎ 葉 軟白 生,89.6,0.3,2.2,2.5,-,-,-,-,-,
06350,731,（ねぎ類） 根深ねぎ 葉 軟白 ゆで,91.4,1.0,1.5,2.5,-,-,-,-,-,
06351,732,（ねぎ類） 根深ねぎ 葉 軟白 油いため,83.9,0.9,1.7,2.7,-,-,-,-,-,
06227,733,（ねぎ類） 葉ねぎ 葉 生,90.5,0.3,2.9,3.2,-,-,-,-,-,
06352,734,（ねぎ類） 葉ねぎ 葉 油いため,83.9,1.7,2.1,3.9,-,-,-,-,-,
06228,735,（ねぎ類） こねぎ 葉 生,91.3,0.2,2.3,2.5,-,-,-,-,-,
06229,736,のざわな 葉 生,94.0,0.5,1.5,2.0,-,-,-,-,-,
06230,737,のざわな 漬物 塩漬,91.8,0.2,2.3,2.5,-,-,-,-,-,
06231,738,のざわな 漬物 調味漬,89.5,0.5,2.6,3.1,-,-,-,-,-,
06232,739,のびる りん茎葉 生,80.2,3.3,3.6,6.9,-,-,-,-,-,
06233,740,はくさい 結球葉 生,95.2,0.3,1.0,1.3,-,-,-,-,-,
06234,741,はくさい 結球葉 ゆで,95.4,0.4,1.0,1.4,-,-,-,-,-,
06235,742,はくさい 漬物 塩漬,92.1,0.3,1.5,1.8,-,-,-,-,-,
06236,743,はくさい 漬物 キムチ,88.4,0.6,1.6,2.2,-,-,-,-,-,
06237,744,パクチョイ 葉 生,94.0,0.4,1.4,1.8,-,-,-,-,-,
06238,745,バジル 葉 生,91.5,0.9,3.1,4.0,-,-,-,-,-,
06239,746,パセリ 葉 生,84.7,0.6,6.2,6.8,-,-,-,-,-,
06240,747,はつかだいこん 根 生,95.3,0.2,1.0,1.2,-,-,-,-,-,
06392,748,はなっこりー 生,89.5,-,-,-,0.1,0.3,2.8,-,3.1,
06241,749,はやとうり 果実 白色種 生,94.0,0.2,1.0,1.2,-,-,-,-,-,
06242,750,はやとうり 果実 白色種 塩漬,91.0,0.3,1.3,1.6,-,-,-,-,-,
06353,751,はやとうり 果実 緑色種 生,94.0,0.2,1.0,1.2,-,-,-,-,-,
06243,752,ビーツ 根 生,87.6,0.7,2.0,2.7,-,-,-,-,-,
06244,753,ビーツ 根 ゆで,86.9,0.8,2.1,2.9,-,-,-,-,-,
06245,754,（ピーマン類） 青ピーマン 果実 生,93.4,0.6,1.7,2.3,-,-,-,-,-,
06246,755,（ピーマン類） 青ピーマン 果実 油いため,89.0,0.6,1.8,2.4,-,-,-,-,-,
06247,756,（ピーマン類） 赤ピーマン 果実 生,91.1,0.5,1.1,1.6,-,-,-,-,-,
06248,757,（ピーマン類） 赤ピーマン 果実 油いため,86.6,0.5,1.1,1.6,-,-,-,-,-,
06393,758,（ピーマン類） オレンジピーマン 果実 生,94.2,-,-,-,Tr,0.9,0.9,-,1.8,
06249,760,（ピーマン類） 黄ピーマン 果実 生,92.0,0.4,0.9,1.3,-,-,-,-,-,
06250,761,（ピーマン類） 黄ピーマン 果実 油いため,87.6,0.4,0.9,1.3,-,-,-,-,-,
06251,762,（ピーマン類） トマピー 果実 生,90.9,0.6,1.0,1.6,-,-,-,-,-,
06252,763,ひのな 根・茎葉 生,92.5,0.7,2.3,3.0,-,-,-,-,-,
06253,764,ひのな 根・茎葉 甘酢漬,76.4,0.9,3.8,4.7,-,-,-,-,-,
06254,765,ひろしまな 葉 生,92.7,0.4,2.0,2.4,-,-,-,-,-,
06255,766,ひろしまな 塩漬,92.7,0.8,1.6,2.4,-,-,-,-,-,
06256,767,（ふき類） ふき 葉柄 生,95.8,0.1,1.2,1.3,-,-,-,-,-,
06257,768,（ふき類） ふき 葉柄 ゆで,97.4,0.1,1.0,1.1,-,-,-,-,-,
06258,769,（ふき類） ふきのとう 花序 生,85.5,1.0,5.4,6.4,-,-,-,-,-,
06259,770,（ふき類） ふきのとう 花序 ゆで,89.2,0.9,3.3,4.2,-,-,-,-,-,
06260,771,ふじまめ 若ざや 生,89.2,0.5,3.9,4.4,-,-,-,-,-,
06261,772,ふだんそう 葉 生,92.2,0.5,2.8,3.3,-,-,-,-,-,
06262,773,ふだんそう 葉 ゆで,90.4,0.5,3.3,3.8,-,-,-,-,-,
06263,774,ブロッコリー 花序 生,86.2,0.9,4.3,5.1,-,-,-,-,-,
06264,775,ブロッコリー 花序 ゆで,89.9,1.0,3.3,4.3,-,-,-,-,-,
06354,779,ブロッコリー 芽ばえ 生,94.3,0.3,1.5,1.8,-,-,-,-,-,
06265,780,へちま 果実 生,94.9,0.5,0.5,1.0,-,-,-,-,-,
06266,781,へちま 果実 ゆで,94.2,0.6,0.9,1.5,-,-,-,-,-,
06267,782,ほうれんそう 葉 通年平均 生,92.4,0.7,2.1,2.8,-,-,-,-,-,
06268,783,ほうれんそう 葉 通年平均 ゆで,91.5,0.6,3.0,3.6,-,-,-,-,-,
06359,784,ほうれんそう 葉 通年平均 油いため,82.0,0.8,3.8,4.6,-,-,-,-,-,
06355,785,ほうれんそう 葉 夏採り 生,92.4,0.7,2.1,2.8,-,-,-,-,-,
06357,786,ほうれんそう 葉 夏採り ゆで,91.5,0.6,3.0,3.6,-,-,-,-,-,
06356,787,ほうれんそう 葉 冬採り 生,92.4,0.7,2.1,2.8,-,-,-,-,-,
06358,788,ほうれんそう 葉 冬採り ゆで,91.5,0.6,3.0,3.6,-,-,-,-,-,
06269,789,ほうれんそう 葉 冷凍,92.2,0.7,2.6,3.3,-,-,-,-,-,
06372,790,ほうれんそう 葉 冷凍 ゆで,90.6,0.8,4.0,4.8,-,-,-,-,-,
06373,791,ほうれんそう 葉 冷凍 油いため,84.6,0.8,3.3,4.1,-,-,-,-,-,
06270,792,ホースラディシュ 根茎 生,77.3,0.8,7.4,8.2,-,-,-,-,-,
06271,793,まこも 茎 生,93.5,0.2,2.1,2.3,-,-,-,-,-,
06272,794,みずかけな 葉 生,91.1,0.9,1.9,2.8,-,-,-,-,-,
06273,795,みずかけな 塩漬,85.6,1.3,2.7,4.0,-,-,-,-,-,
06072,796,みずな 葉 生,91.4,0.6,2.4,3.0,-,-,-,-,-,
