,,食物名,エネルギーJ,エネルギー,水分,アミノ酸組成による たんぱく質,"たんぱく質",脂肪酸のトリアシルグリセロール当量,"コレステロール",脂質,利用可能炭水化物,利用可能炭水化物 （質量計）,"差引き法による 利用可能炭水化物 ","食物繊維総量",糖アルコール,炭水化物,有機酸,灰分,ナ ト リ ウ ム,カ リ ウ ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ ン,鉄,亜 鉛,銅,マ ン ガ ン,ヨ ウ 素,セ レ ン,ク ロ ム,モリブデン,レチノール,α|カロテン,β|カロテン,β|クリプトキサンチン,β|カロテン当量,レチノール活性当量,"      ビタミンD",α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,ビタミンK,ビタミンＢ１,"ビタミン B２","ナイアシン",ナイアシン当量,ビタミンＢ６,"ビタミンＢ１２","葉 酸",パントテン酸,ビ オ チ ン,ビタミンC,アルコール,食塩相当量
,,単位,kJ,kcal,g,g,"g",g,"mg",g,g,g,"g","g",g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,"μg",mg,mg,mg,mg,μg,mg,"mg","mg",mg,mg,"μg","μg",mg,μg,mg,g,g
,,成分識別子,ENERC,ENERC_KCAL,WATER,PROTCAA,"PROT-",FATNLEA,"CHOLE",FAT-,CHOAVLM,CHOAVL,"CHOAVLDF-","FIB-",POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,"VITD",TOCPHA,TOCPHB,TOCPHG,TOCPHD,"VITK ",THIA,"RIBF","NIA",NE,VITB6A,"VITB12","FOL",PANTAC,BIOT,VITC,ALC,NACL_EQ
01020,21,こむぎ ［小麦粉］ 強力粉 1等,1432,337,14.5,11.0,"11.8",1.3,"0",1.5,73.5,66.8,"70.1","2.7",-,71.7,-,0.4,Tr,89,17,23,64,0.9,0.8,0.15,0.32,0,39,1,26,0,-,-,-,0,0,"0",0.3,0.2,0,0,0,0.09,"0.04","0.8",3.1,0.06,"0","16",0.77,1.7,0,-,0
01021,22,こむぎ ［小麦粉］ 強力粉 2等,1455,343,14.5,11.9,"12.6",1.5,"0",1.7,70.0,63.6,"69.5","2.1",-,70.6,-,0.5,Tr,86,21,36,86,1.0,1.0,0.19,0.58,0,49,1,30,0,-,-,-,0,0,"0",0.5,0.2,0,0,0,0.13,"0.04","1.1",3.6,0.08,"0","18",0.93,2.6,0,-,0
01023,23,こむぎ ［小麦粉］ 強力粉 全粒粉,1356,320,14.5,11.7,"12.8",2.4,"0",2.9,61.2,55.6,"58.6","11.2",-,68.2,-,1.6,2,330,26,140,310,3.1,3.0,0.42,4.02,0,47,3,44,0,-,-,-,0,0,"0",1.0,0.5,0,0,0,0.34,"0.09","5.7",8.5,0.33,"0","48",1.27,11.0,0,-,0
01146,24,こむぎ ［小麦粉］ プレミックス粉 お好み焼き用,1426,335,9.8,9.0,"10.1",1.8,"1",1.9,74.1,67.6,"72.7","2.8",-,73.6,-,3.9,1400,210,64,31,320,1.0,0.7,0.13,0.92,1400,8,3,15,0,Tr,7,1,8,1,"0.1",0.6,0.3,0.2,Tr,1,0.21,"0.03","1.5",3.3,0.07,"0.1","17",0.41,2.4,Tr,-,3.7
01024,25,こむぎ ［小麦粉］ プレミックス粉 ホットケーキ用,1529,360,11.1,7.1,"7.8",3.6,"31",4.0,78.6,72.4,"74.2","1.8",-,74.4,Tr,2.1,390,230,100,12,170,0.5,0.3,0.07,-,0,3,5,11,9,-,-,-,3,9,"0.1",0.5,0.1,0.3,0.1,1,0.10,"0.08","0.5",2.2,0.04,"0.1","10",0.48,1.5,0,-,1.0
01147,26,こむぎ ［小麦粉］ プレミックス粉 から揚げ用,1325,311,8.3,9.2,"10.2",1.0,"0",1.2,69.4,63.4,"68.6","2.6",-,70.0,-,10.3,3800,280,110,39,130,1.2,0.7,0.10,0.96,1,6,6,23,0,2,39,31,56,5,"0",0.3,0.2,0.1,0,2,0.15,"0.07","1.3",2.8,0.12,"Tr","26",0.33,4.3,0,-,9.7
01025,27,こむぎ ［小麦粉］ プレミックス粉 天ぷら用,1434,337,12.4,8.2,"8.8",1.1,"3",1.3,77.1,70.1,"74.6","2.5",-,76.1,-,1.2,210,160,140,19,120,0.6,0.5,0.12,0.62,1,3,2,10,Tr,Tr,3,2,4,1,"0",0.3,0.2,0,0,0,0.12,"0.99","0.9",2.7,0.06,"0","12",0.35,1.3,0,-,0.5
01171,28,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター,578,136,65.5,3.0,"3.3",0.4,"1",0.5,30.3,27.6,"29.6","1.0",-,30.2,-,0.4,64,67,84,6,51,0.2,0.1,0.04,0.20,1,1,1,3,0,0,39,0,39,3,"0",0.1,0.1,0,0,0,0.04,"0.16","0.4",1.0,0.02,"0","3",0.19,0.5,0,-,0.2
01172,29,こむぎ ［小麦粉］ プレミックス粉 天ぷら用 バッター 揚げ,2439,588,10.2,3.9,"4.3",-,"2",47.7,-,-,"34.3","3.3",-,37.0,-,0.6,79,93,100,8,63,0.3,0.1,0.04,0.26,0,1,2,4,0,0,1,0,1,0,"-",7.6,0.1,17.0,0.5,81,0.05,"0.14","0.5",1.3,0.03,"0","4",0.21,0.7,0,-,0.2
01026,30,こむぎ ［パン類］ 角形食パン 食パン,1051,248,39.2,7.4,"8.9",3.7,"0",4.1,48.2,44.2,"44.1","4.2",0,46.4,-,1.4,470,86,22,18,67,0.5,0.5,0.09,0.25,1,22,1,15,0,0,4,0,4,0,"0",0.4,0.1,0.3,0.1,0,0.07,"0.05","1.1",2.6,0.03,"Tr","30",0.42,2.3,0,-,1.2
01174,31,こむぎ ［パン類］ 角形食パン 焼き,1139,269,33.6,8.3,"9.7",4.0,"-",4.5,52.1,47.8,"47.9","4.6",-,50.6,-,1.6,520,93,26,20,77,0.5,0.6,0.10,0.28,1,25,1,17,-,-,-,-,-,-,"-",0.4,0.1,0.3,0.1,-,0.07,"0.05","1.2",2.9,0.03,"-","30",0.45,2.2,0,-,1.3
01175,32,こむぎ ［パン類］ 角形食パン 耳を除いたもの,956,226,44.2,6.9,"8.2",3.4,"-",3.7,43.9,40.2,"40.4","3.8",-,42.6,-,1.3,440,78,20,16,61,0.4,0.4,0.08,0.23,1,20,1,12,-,1,4,-,5,Tr,"-",0.3,Tr,0.3,0.1,-,0.06,"0.05","1.1",2.5,0.04,"-","17",0.30,2.2,0,-,1.1
01176,33,こむぎ ［パン類］ 角形食パン 耳,1152,273,33.5,-,"9.7",-,"-",4.5,-,-,"46.1","4.7",-,50.8,-,1.5,510,92,23,18,73,0.5,0.6,0.10,0.27,1,22,1,14,-,1,6,-,7,1,"-",0.4,0.1,0.3,0.1,-,0.06,"0.06","1.1",2.7,0.05,"-","27",0.37,2.2,Tr,-,1.3
01206,34,こむぎ ［パン類］ 食パン リーンタイプ,1045,246,39.2,7.4,"8.0",3.5,"Tr",3.7,48.5,44.1,"46.4","2.0",-,47.5,0,1.6,520,67,12,16,46,0.6,0.6,0.10,0.21,0,25,1,17,0,0,0,0,0,0,"0.3",0.4,0.1,0.3,0.1,0,0.10,"0.05","0.6",1.9,0.04,"0","28",0.54,2.5,0,-,1.3
01207,35,こむぎ ［パン類］ 食パン リッチタイプ,1085,256,39.2,7.2,"7.8",5.5,"32",6.0,46.6,42.7,"44.9","1.7",-,45.6,Tr,1.5,440,88,25,15,62,0.6,0.7,0.09,0.18,3,23,1,15,39,0,10,1,10,28,"0.1",0.3,0.1,Tr,0,2,0.09,"0.09","0.8",2.1,0.05,"0.1","42",0.51,2.8,0,-,1.1
01205,36,こむぎ ［パン類］ 山形食パン 食パン,1043,246,39.2,7.2,"7.8",3.3,"Tr",3.5,49.0,44.7,"46.8","1.8",-,47.9,Tr,1.6,490,76,18,16,51,0.6,0.6,0.10,0.21,1,24,1,16,0,0,0,0,0,0,"Tr",0.4,0.1,0.3,0.1,0,0.08,"0.06","0.8",2.1,0.05,"Tr","34",0.54,2.4,0,-,1.3
01028,37,こむぎ ［パン類］ コッペパン,1097,259,37.0,7.3,"8.5",3.6,"Tr",3.8,49.6,45.3,"48.5","2.0",0,49.1,Tr,1.6,520,95,37,24,75,1.0,0.7,0.12,0.39,-,-,-,-,0,-,-,-,0,0,"0",0.4,0.1,0.8,0.2,Tr,0.08,"0.08","0.7",2.2,0.04,"Tr","45",0.63,-,0,-,1.3
01030,38,こむぎ ［パン類］ 乾パン,1639,386,5.5,8.7,"9.5",4.0,"Tr",4.4,82.2,74.9,"76.8","3.1",0,78.8,Tr,1.8,490,160,30,27,95,1.2,0.6,0.18,0.82,-,-,-,-,0,-,-,-,0,0,"0",1.1,0.3,0.7,0.1,Tr,0.14,"0.06","0.9",2.8,0.06,"0","20",0.41,-,0,-,1.2
