,,食物名,エネルギーJ,エネルギー,水分,アミノ酸組成による たんぱく質,"たんぱく質",脂肪酸のトリアシルグリセロール当量,"コレステロール",脂質,利用可能炭水化物,利用可能炭水化物 （質量計）,"差引き法による 利用可能炭水化物 ","食物繊維総量",糖アルコール,炭水化物,有機酸,灰分,ナ ト リ ウ ム,カ リ ウ ム,カ ル シ ウ ム,マ グ ネ シ ウ ム,リ ン,鉄,亜 鉛,銅,マ ン ガ ン,ヨ ウ 素,セ レ ン,ク ロ ム,モリブデン,レチノール,α|カロテン,β|カロテン,β|クリプトキサンチン,β|カロテン当量,レチノール活性当量,"      ビタミンD",α|トコフェロール,β|トコフェロール,γ|トコフェロール,δ|トコフェロール,ビタミンK,ビタミンＢ１,"ビタミン B２","ナイアシン",ナイアシン当量,ビタミンＢ６,"ビタミンＢ１２","葉 酸",パントテン酸,ビ オ チ ン,ビタミンC,アルコール,食塩相当量
,,単位,kJ,kcal,g,g,"g",g,"mg",g,g,g,"g","g",g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,μg,μg,μg,μg,μg,μg,μg,μg,μg,μg,"μg",mg,mg,mg,mg,μg,mg,"mg","mg",mg,mg,"μg","μg",mg,μg,mg,g,g
,,成分識別子,ENERC,ENERC_KCAL,WATER,PROTCAA,"PROT-",FATNLEA,"CHOLE",FAT-,CHOAVLM,CHOAVL,"CHOAVLDF-","FIB-",POLYL,CHOCDF-,OA,ASH,NA,K,CA,MG,P,FE,ZN,CU,MN,ID,SE,CR,MO,RETOL,CARTA,CARTB,CRYPXB,CARTBEQ,VITA_RAE,"VITD",TOCPHA,TOCPHB,TOCPHG,TOCPHD,"VITK ",THIA,"RIBF","NIA",NE,VITB6A,"VITB12","FOL",PANTAC,BIOT,VITC,ALC,NACL_EQ
10254,1455,＜魚類＞ （まぐろ類） くろまぐろ 天然 脂身 生,1281,308,51.4,16.7,"20.1",23.5,"55",27.5,0.1,0.1,"7.5","0",-,0.1,-,0.9,71,230,7,35,180,1.6,0.5,0.04,Tr,-,-,-,-,270,0,0,0,0,270,"18.0",1.5,0,0,0,0,0.04,"0.07","9.8",14.0,0.82,"1.0","8",0.47,-,4,-,0.2
10450,1456,＜魚類＞ （まぐろ類） くろまぐろ 養殖 赤身 生,643,153,68.8,20.5,"24.8",6.7,"53",7.6,0.3,0.3,"2.8","0",-,0.3,-,1.3,28,430,3,38,270,0.8,0.5,0.02,Tr,31,79,0,0,840,-,-,-,-,840,"4",1.5,-,-,-,-,0.16,"0.05","15.0",20.0,0.51,"2.5","10",0.27,1.1,2,-,0.1
10451,1457,＜魚類＞ （まぐろ類） くろまぐろ 養殖 赤身 水煮,727,173,64.1,22.5,"27.2",6.8,"59",8.3,0.3,0.2,"5.4","0",-,0.3,-,1.2,25,400,3,38,270,1.0,0.6,0.02,Tr,34,88,0,0,900,-,-,-,-,900,"4.1",1.8,-,-,-,-,0.16,"0.04","14.0",20.0,0.40,"3.2","12",0.28,1.3,2,-,0.1
10452,1458,＜魚類＞ （まぐろ類） くろまぐろ 養殖 赤身 蒸し,786,187,62.0,22.9,"28.0",8.1,"62",9.9,0.2,0.2,"5.8","0",-,0.2,-,1.2,26,410,3,39,270,0.9,0.6,0.02,0.01,38,91,0,0,990,-,-,-,-,990,"4.3",1.9,-,-,-,-,0.17,"0.04","15.0",20.0,0.31,"3.4","11",0.27,1.3,2,-,0.1
10453,1459,＜魚類＞ （まぐろ類） くろまぐろ 養殖 赤身 電子レンジ調理,802,191,60.0,24.9,"30.4",7.2,"65",8.7,0.3,0.3,"6.6","0",-,0.3,-,1.4,33,490,4,44,310,1.1,0.6,0.02,0.01,39,94,0,0,970,-,-,-,-,970,"4.3",1.8,-,-,-,-,0.19,"0.05","18.0",24.0,0.29,"3.4","9",0.25,1.4,2,-,0.1
10454,1460,＜魚類＞ （まぐろ類） くろまぐろ 養殖 赤身 焼き,848,202,59.6,24.0,"29.0",9.2,"66",10.6,0.3,0.2,"5.8","0",-,0.3,-,1.4,33,500,3,42,290,0.9,0.6,0.02,0.01,42,94,Tr,0,1100,-,-,-,-,1100,"5",2.0,-,-,-,-,0.19,"0.04","19.0",24.0,0.33,"3.3","11",0.33,1.5,2,-,0.1
10455,1461,＜魚類＞ （まぐろ類） くろまぐろ 養殖 赤身 ソテー,812,194,61.6,23.1,"28.0",9.2,"61",10.2,0.3,0.3,"4.7","0",-,0.3,-,1.4,29,470,3,43,300,0.9,0.6,0.02,0.01,36,90,Tr,0,910,-,-,-,-,910,"4.4",1.9,-,-,-,-,0.18,"0.05","17.0",23.0,0.42,"3.2","10",0.25,1.4,2,-,0.1
10456,1462,＜魚類＞ （まぐろ類） くろまぐろ 養殖 赤身 天ぷら,927,222,57.8,20.7,"25.1",11.6,"57",12.6,-,-,"8.6","0",-,3.2,-,1.3,38,440,13,40,280,1.0,0.5,0.04,0.04,33,88,0,1,820,-,-,-,-,820,"4.1",2.5,-,-,-,-,0.17,"0.06","15.0",20.0,0.25,"3.1","6",0.30,1.5,1,-,0.1
10255,1463,＜魚類＞ （まぐろ類） びんなが 生,469,111,71.8,21.6,"26.0",0.6,"49",0.7,0.2,0.2,"4.7","0",-,0.2,-,1.3,38,440,9,41,310,0.9,0.5,0.05,0.01,12,71,1,0,4,0,0,-,0,4,"7",0.7,0,0,0,0,0.13,"0.10","21.0",26.0,0.94,"2.8","4",0.31,1.2,1,-,0.1
10256,1464,＜魚類＞ （まぐろ類） みなみまぐろ 赤身 生,375,88,77.0,16.9,"21.6",0.2,"52",0.4,0.1,0.1,"4.7","0",-,0.1,-,1.2,43,400,5,27,240,1.8,0.4,0.04,0.01,5,73,0,0,6,0,0,0,0,6,"4",1.0,0,0,0,0,0.03,"0.05","11.0",15.0,1.08,"2.2","5",0.30,2.2,Tr,-,0.1
10257,1465,＜魚類＞ （まぐろ類） みなみまぐろ 脂身 生,1337,322,50.3,16.6,"20.3",25.4,"59",28.3,0.1,0.1,"6.6","0",-,0.1,-,1.0,44,280,9,29,210,0.6,0.4,0.05,0.01,38,120,1,0,34,0,0,0,0,34,"5",1.5,0,0,0,0,0.10,"0.06","11.0",15.0,1.00,"1.5","4",0.29,4.4,5,-,0.1
10258,1466,＜魚類＞ （まぐろ類） めじまぐろ 生,587,139,68.7,20.5,"25.2",3.8,"58",4.8,0.1,0.1,"5.8","0",-,0.1,-,1.2,42,410,9,40,290,1.8,0.5,0.09,0.01,-,-,-,-,61,0,0,-,0,61,"12.0",1.2,0,0,0,0,0.19,"0.19","19.0",24.0,0.73,"6.9","6",0.59,-,1,-,0.1
10425,1467,＜魚類＞ （まぐろ類） めばち 赤身 生,485,115,72.2,21.9,"25.4",1.7,"41",2.3,0.3,0.3,"3.0","0",-,0.3,-,1.3,39,440,3,35,270,0.9,0.4,0.03,Tr,18,75,Tr,0,17,0,0,0,0,17,"3.6",0.9,0,0,0,Tr,0.09,"0.05","15.0",20.0,0.76,"1.4","5",0.15,1.5,1,-,0.1
10426,1468,＜魚類＞ （まぐろ類） めばち 脂身 生,662,158,67.8,20.0,"23.9",6.8,"52",7.5,0.4,0.3,"4.2","0",-,0.4,-,1.2,100,400,4,31,240,0.7,0.4,0.03,Tr,42,74,Tr,0,37,0,Tr,0,Tr,37,"8.1",2.0,0,Tr,0,1,0.07,"0.05","13.0",18.0,0.80,"1.0","5",0.17,1.5,1,-,0.3
10260,1469,＜魚類＞ （まぐろ類） 缶詰 水煮 フレーク ライト,297,70,82.0,13.0,"16.0",0.5,"35",0.7,0.2,0.2,"3.4","0",-,0.2,-,1.1,210,230,5,26,160,0.6,0.7,0.05,0.01,-,-,-,-,10,0,0,-,0,10,"3",0.4,0,0,0,0,0.01,"0.04","9.5",13.0,0.26,"1.1","4",0.13,-,0,-,0.5
10261,1470,＜魚類＞ （まぐろ類） 缶詰 水煮 フレーク ホワイト,404,96,77.6,14.9,"18.3",2.2,"34",2.5,0.4,0.4,"4.1","0",-,0.4,-,1.2,260,280,6,34,200,1.0,0.7,0.04,0.02,-,-,-,-,Tr,-,-,-,0,Tr,"2",0.4,0,0,0,0,0.07,"0.03","11.0",15.0,0.15,"1.4","7",0.13,-,0,-,0.7
10262,1471,＜魚類＞ （まぐろ類） 缶詰 味付け フレーク,567,134,65.7,-,"19.0",1.8,"58",2.3,-,-,"10.4","0",-,9.9,-,3.1,760,280,24,31,350,4.0,1.0,0.12,0.13,-,-,-,-,Tr,-,-,-,0,Tr,"5",0.7,0,0,0,0,0.07,"0.03","8.0",12.0,0.16,"3.7","13",0.23,-,0,-,1.9
10263,1472,＜魚類＞ （まぐろ類） 缶詰 油漬 フレーク ライト,1098,265,59.1,14.4,"17.7",21.3,"32",21.7,0.1,0.1,"3.8","0",-,0.1,-,1.4,340,230,4,25,160,0.5,0.3,0.04,0.01,-,-,-,-,8,0,0,-,0,8,"2",2.8,0.4,17.0,6.1,44,0.01,"0.03","8.8",12.0,0.26,"1.1","3",0.09,-,0,-,0.9
10264,1473,＜魚類＞ （まぐろ類） 缶詰 油漬 フレーク ホワイト,1158,279,56.0,15.3,"18.8",21.8,"38",23.6,0.1,0.1,"5.4","0",-,0.1,-,1.5,370,190,2,27,270,1.8,0.4,0.03,0.02,-,-,-,-,Tr,-,-,-,0,Tr,"4",8.3,0.1,7.6,0.1,-,0.05,"0.13","12.0",16.0,0.15,"2.0","2",0.12,-,0,-,0.9
10265,1474,＜魚類＞ マジェランあいなめ 生,1010,243,62.8,11.0,"13.3",19.6,"59",22.9,0.1,0.1,"5.7","0",-,0.1,-,0.9,65,300,10,18,210,0.1,0.3,0.01,0.01,-,-,-,-,1800,0,0,-,0,1800,"17.0",2.2,0,0,0,0,0.02,"0.08","0.9",3.3,0.04,"0.6","5",0.29,-,Tr,-,0.2
10266,1475,＜魚類＞ まながつお 生,651,156,70.8,-,"17.1",9.7,"70",10.9,Tr,Tr,"1.2","0",-,Tr,-,1.2,160,370,21,25,190,0.3,0.5,0.02,0.01,-,-,-,-,90,-,-,-,0,90,"5",1.4,0,0,0,0,0.22,"0.13","3.6",6.9,0.30,"1.4","7",1.37,-,1,-,0.4
10232,1476,＜魚類＞ みなみくろたち 生,473,112,73.8,17.9,"21.7",2.6,"63",3.0,0.1,0.1,"4.3","0",-,0.1,-,1.4,120,460,22,34,240,0.6,0.5,0.05,0.03,-,-,-,-,55,-,-,-,0,55,"2",1.9,0,0,0,0,0.06,"0.20","7.5",11.0,0.50,"6.5","4",0.85,-,1,-,0.3
10267,1477,＜魚類＞ みなみだら 生,288,68,81.9,13.6,"16.4",0.2,"65",0.3,Tr,Tr,"2.9","0",-,Tr,-,1.4,220,320,23,41,160,0.3,0.3,0.04,0.02,-,-,-,-,6,-,-,-,0,6,"7",0.8,0,0,0,0,0.03,"0.27","1.7",4.7,0.09,"1.6","11",0.44,-,0,-,0.6
10268,1478,＜魚類＞ むつ 生,729,175,69.7,14.5,"16.7",11.6,"59",12.6,Tr,Tr,"3.2","0",-,Tr,-,1.0,85,390,25,20,180,0.5,0.4,0.03,0.01,-,-,-,-,8,-,-,-,0,8,"4",0.9,0,0,0,0,0.03,"0.16","2.4",5.5,0.10,"1.9","6",0.31,-,Tr,-,0.2
10269,1479,＜魚類＞ むつ 水煮,673,161,68.3,18.9,"22.2",7.7,"70",8.4,Tr,Tr,"4.1","0",-,Tr,-,1.1,80,410,49,23,230,0.6,0.4,0.03,0.01,-,-,-,-,11,-,-,-,0,11,"3.6",0.6,0,0,0,0,0.04,"0.16","2.8",6.9,0.13,"2.5","4",0.25,-,Tr,-,0.2
10270,1480,＜魚類＞ めじな 生,476,113,74.7,16.0,"19.4",3.4,"56",4.5,0.1,0.1,"4.5","0",-,0.1,-,1.3,91,380,27,30,240,0.3,0.9,0.03,0.01,-,-,-,-,55,0,0,-,0,55,"1",0.8,0,0,0,0,0.05,"0.38","2.7",6.2,0.16,"1.8","2",0.44,-,0,-,0.2
10271,1481,＜魚類＞ めばる 生,423,100,77.2,15.6,"18.1",2.8,"75",3.5,Tr,Tr,"3.2","0",-,Tr,-,1.2,75,350,80,27,200,0.4,0.4,0.05,-,-,-,-,-,11,-,-,-,0,11,"1",1.5,0,0,0,0,0.07,"0.17","1.6",5.0,0.11,"1.5","5",0.37,-,2,-,0.2
10272,1482,＜魚類＞ メルルーサ 生,309,73,81.1,14.6,"17.0",0.5,"45",0.6,Tr,Tr,"2.5","0",-,Tr,-,1.3,140,320,12,38,150,0.2,0.4,0.02,0.01,-,-,-,-,5,-,-,-,0,5,"1",1.3,0,0,0,0,0.09,"0.04","1.0",4.1,0.07,"0.8","5",0.32,-,Tr,-,0.4
10273,1483,＜魚類＞ やつめうなぎ 生,1018,245,61.5,-,"15.8",18.8,"150",21.8,0.2,0.2,"3.2","0",-,0.2,-,0.7,49,150,7,15,180,2.0,1.6,0.15,0.03,-,-,-,-,8200,0,0,0,0,8200,"3",3.8,0,0,0,0,0.25,"0.85","3.0",5.6,0.20,"4.9","19",1.18,-,2,-,0.1
10274,1484,＜魚類＞ やつめうなぎ 干しやつめ,1880,449,14.3,-,"50.3",24.3,"480",31.2,0.5,0.5,"7.4","0",-,0.5,-,3.7,130,650,16,49,240,32.0,5.9,1.80,0.10,-,-,-,-,1900,0,0,0,0,1900,"12.0",2.4,0,0,0,0,0.33,"1.69","7.0",15.0,0.14,"55.0","100",5.76,-,0,-,0.3
10275,1485,＜魚類＞ やまめ 養殖 生,453,108,75.6,-,"18.4",3.7,"65",4.3,0.3,0.3,"0.9","0",-,0.3,-,1.4,50,420,85,28,280,0.5,0.8,0.04,0.01,-,-,-,-,15,-,-,-,Tr,15,"8",2.2,0,0,0,0,0.15,"0.16","3.8",6.9,0.22,"6.6","13",1.48,-,3,-,0.1
10276,1486,＜魚類＞ わかさぎ 生,300,71,81.8,11.8,"14.4",1.2,"210",1.7,0.1,0.1,"3.1","0",-,0.1,-,2.0,200,120,450,25,350,0.9,2.0,0.19,0.13,29,22,1,1,99,0,2,-,2,99,"2",0.7,0,Tr,0,Tr,0.01,"0.14","1.6",4.0,0.17,"7.9","21",0.51,4.0,1,-,0.5
10277,1487,＜魚類＞ わかさぎ つくだ煮,1302,308,19.3,-,"28.7",3.6,"450",5.5,-,-,"40.1","0",-,38.2,-,8.3,1900,480,970,69,780,2.6,4.4,0.11,1.74,-,-,-,-,460,0,15,34,32,460,"8",4.2,0,0,0,0,0.24,"0.32","3.4",8.3,0.06,"9.4","59",0.77,-,Tr,-,4.8
10278,1488,＜魚類＞ わかさぎ あめ煮,1276,301,21.0,-,"26.3",2.8,"400",5.1,-,-,"42.7","0",-,40.4,-,7.2,1600,410,960,66,740,2.1,5.2,0.08,2.29,-,-,-,-,420,0,16,75,53,420,"9",3.6,0,0,0,0,0.28,"0.35","3.6",8.1,0.06,"11.0","52",0,-,0,-,4.1
10279,1489,＜貝類＞ あかがい 生,296,70,80.4,10.6,"13.5",0.1,"46",0.3,3.5,3.2,"6.6","0",-,3.5,-,2.3,300,290,40,55,140,5.0,1.5,0.06,-,-,-,-,-,30,-,-,-,60,35,"0",0.9,0,0,0,1,0.20,"0.20","2.5",4.6,0.10,"59.0","20",1.02,-,2,-,0.8
10280,1490,＜貝類＞ あげまき 生,189,44,87.1,5.9,"8.1",0.3,"38",0.6,2.0,1.8,"4.5","0",-,2.0,-,2.2,600,120,66,49,120,4.1,1.5,0.40,0.20,-,-,-,-,20,0,85,-,85,27,"1",0.8,0,0,0,0,0.30,"0.14","1.3",2.5,0.04,"59.0","11",0.37,-,1,-,1.5
10281,1491,＜貝類＞ あさり 生,115,27,90.3,4.6,"6.0",0.1,"40",0.3,0.4,0.4,"2.0","0",-,0.4,-,3.0,870,140,66,100,85,3.8,1.0,0.06,0.10,55,38,4,9,2,1,21,0,22,4,"0",0.4,0,0,0,Tr,0.02,"0.16","1.4",2.4,0.04,"52.0","11",0.39,23.0,1,-,2.2
10282,1492,＜貝類＞ あさり つくだ煮,927,218,38.0,16.1,"20.8",1.0,"61",2.4,-,-,"36.2","0",-,30.1,-,8.7,2900,270,260,79,300,19.0,2.8,0.18,0.94,-,-,-,-,26,25,190,0,200,43,"0",1.4,0,0,0,4,0.02,"0.18","1.1",4.4,0.09,"15.0","42",0.40,-,0,-,7.4
10283,1493,＜貝類＞ あさり 缶詰 水煮,433,102,73.2,15.7,"20.3",0.9,"89",2.2,1.9,1.7,"7.8","0",-,1.9,-,2.4,390,9,110,46,260,30.0,3.4,0.29,1.24,-,-,-,-,3,-,-,-,35,6,"0",2.7,0.1,0,0,3,Tr,"0.09","0.8",4.0,0.01,"64.0","10",0,-,0,-,1.0
10284,1494,＜貝類＞ あさり 缶詰 味付け,528,124,67.2,12.8,"16.6",0.9,"77",1.9,-,-,"16.3","0",-,11.5,-,2.8,640,35,87,44,180,28.0,3.2,0.24,1.23,-,-,-,-,3,-,-,-,36,6,"0",2.3,0,0,0,4,Tr,"0.06","1.2",3.9,0.01,"36.0","1",0,-,0,-,1.6
10427,1495,＜貝類＞ あわび くろあわび 生,324,76,79.5,11.2,"14.3",0.3,"110",0.8,3.7,3.3,"7.2","0",-,3.6,0.1,1.7,430,160,25,69,82,2.2,-,-,0.01,200,8,6,15,0,0,17,-,17,1,"0",0.3,0,0,0,-,0.15,"0.09","0.8",2.6,0.02,"0.4","20",2.44,1.2,1,-,1.1
10428,1496,＜貝類＞ あわび まだかあわび 生,316,74,80.0,11.5,"14.6",0.1,"100",0.4,3.3,2.9,"6.8","0",-,3.3,-,1.5,330,250,21,58,130,1.8,-,-,0.01,190,8,5,14,0,0,28,-,28,2,"0",1.1,0,0,0,-,0.02,"0.10","1.5",3.4,0.02,"0.4","22",2.05,1.1,2,-,0.8
10429,1497,＜貝類＞ あわび めがいあわび 生,315,74,80.1,8.8,"12.2",0.1,"110",0.3,6.8,6.1,"9.4","0",-,6.8,-,1.4,320,230,19,50,110,0.7,-,-,0.01,190,8,5,14,0,0,9,-,9,1,"0",0.3,0,0,0,-,0.16,"0.09","1.1",2.5,0.02,"0.4","29",1.71,1.1,1,-,0.8
10286,1498,＜貝類＞ あわび 干し,1090,257,27.9,27.0,"38.0",0.6,"390",1.6,23.8,21.4,"35.8","0",-,23.8,-,8.7,2900,490,39,110,300,2.0,1.6,0.74,0.05,-,-,-,-,0,0,45,2,47,4,"0",1.2,0,0,0,3,0.36,"0.11","3.3",8.2,0.05,"2.4","87",0.71,-,Tr,-,7.4
10287,1499,＜貝類＞ あわび 塩辛,393,93,72.5,10.5,"14.8",2.6,"190",3.9,1.4,1.3,"7.0","0",-,1.4,-,7.4,2600,180,55,88,160,34.0,2.2,0.25,0.11,-,-,-,-,Tr,-,-,-,700,58,"0",2.5,0,0,0,92,0.20,"0.70","1.5",3.4,0.10,"12.0","130",1.13,-,0,-,6.6
10288,1500,＜貝類＞ あわび 水煮缶詰,359,85,77.2,13.8,"19.4",0.3,"140",0.4,1.0,0.9,"6.8","0",-,1.0,-,2.0,570,130,20,58,230,1.8,0.6,0.42,0.02,-,-,-,-,Tr,-,-,-,Tr,Tr,"0",1.5,0,0,0,0,0.04,"0.04","1.0",3.5,0.02,"0.7","3",0.23,-,0,-,1.4
10289,1501,＜貝類＞ いがい 生,269,63,82.9,7.5,"10.3",0.8,"47",1.6,3.1,2.8,"6.6","0",-,3.2,Tr,2.2,540,230,43,73,160,3.5,1.0,0.05,0.86,65,37,5,9,34,-,-,-,Tr,34,"0",1.1,0,0,0,Tr,0.01,"0.37","1.4",3.7,0.02,"10.0","42",0.63,6.4,5,-,1.4
10290,1502,＜貝類＞ いたやがい 養殖 生,231,55,84.9,7.8,"10.8",0.4,"33",0.8,1.5,1.4,"4.9","0",-,1.5,-,2.0,450,260,48,74,170,2.0,6.1,0.10,4.90,-,-,-,-,5,0,9,-,9,6,"0",0.4,0,0,0,0,0,"0.20","1.4",2.9,0.07,"13.0","14",0.24,-,Tr,-,1.1
10291,1503,＜貝類＞ エスカルゴ 水煮缶詰,318,75,79.9,11.9,"16.5",0.4,"240",1.0,0.8,0.7,"6.0","0",-,0.8,-,1.8,260,5,400,37,130,3.9,1.5,3.07,0.38,-,-,-,-,0,-,-,-,-,0,"0",0.6,0,0,0,5,0,"0.09","0",2.3,0,"0.6","1",0,-,0,-,0.7
10292,1504,＜貝類＞ かき 養殖 生,245,58,85.0,4.9,"6.9",1.3,"38",2.2,2.5,2.3,"6.7","0",-,4.9,0.1,2.1,460,190,84,65,100,2.1,14.0,1.04,0.39,67,46,3,4,24,1,6,0,6,24,"0.1",1.3,0,Tr,0,0,0.07,"0.14","1.5",2.6,0.07,"23.0","39",0.54,4.8,3,-,1.2
10293,1505,＜貝類＞ かき 養殖 水煮,378,90,78.7,7.3,"9.9",2.2,"60",3.6,7.1,6.5,"10.1","0",-,7.1,0.1,1.7,350,180,59,42,140,2.9,18.0,1.44,0.37,71,62,4,5,42,1,10,0,11,43,"0.1",2.9,0,Tr,0,Tr,0.07,"0.15","1.6",3.3,0.07,"24.0","31",0.41,7.4,3,-,0.9
10430,1506,＜貝類＞ かき 養殖 フライ,1076,256,46.6,5.5,"7.6",10.0,"36",11.1,15.6,14.2,"36.0","-",-,32.9,0.1,1.8,380,180,67,53,110,1.8,12.0,0.87,0.37,50,44,3,6,18,1,11,0,12,19,"0.1",3.1,0.1,4.0,0.2,21,0.07,"0.16","1.4",2.6,0.07,"30.0","33",0.39,4.4,2,-,1.0
10294,1507,＜貝類＞ かき くん製油漬缶詰,1196,288,51.2,-,"12.5",21.7,"110",22.6,11.2,10.1,"12.1","0",-,11.2,-,2.5,300,140,35,42,260,4.5,25.0,2.81,1.03,-,-,-,-,Tr,-,-,-,18,2,"0",9.5,0,6.7,0.9,0,0.05,"0.09","1.6",3.5,0.02,"32.0","25",0.56,-,0,-,0.8
10295,1508,＜貝類＞ さざえ 生,353,83,78.0,14.2,"19.4",0.1,"140",0.4,0.8,0.7,"6.3","0",-,0.8,-,1.4,240,250,22,54,140,0.8,2.2,0.39,0.02,97,19,6,5,Tr,44,340,11,360,31,"0",2.3,0,0,0,3,0.04,"0.09","1.7",4.1,0.05,"1.3","16",0.24,1.9,1,-,0.6
10296,1509,＜貝類＞ さざえ 焼き,387,91,75.6,15.2,"21.3",0.1,"170",0.4,0.9,0.8,"7.2","0",-,0.9,-,1.8,280,220,29,67,120,0.9,2.5,0.73,0.03,-,-,-,-,Tr,64,490,16,530,44,"0",2.8,0,0,0,2,0.04,"0.10","1.5",4.1,0.06,"1.1","22",0.30,-,1,-,0.7
10318,1510,＜貝類＞ さるぼう 味付け缶詰,526,124,66.1,-,"15.9",1.3,"110",2.2,12.9,11.6,"13.8","0",-,12.9,-,2.9,870,55,60,41,140,11.0,4.1,0.13,1.39,-,-,-,-,Tr,-,-,-,90,8,"0",2.5,0,0,0,0,0.01,"0.07","1.6",4.1,0.04,"25.0","11",0.19,-,0,-,2.2
10297,1511,＜貝類＞ しじみ 生,230,54,86.0,5.8,"7.5",0.6,"62",1.4,4.5,4.1,"6.4","0",-,4.5,-,1.2,180,83,240,10,120,8.3,2.3,0.41,2.78,-,-,-,-,25,13,97,1,100,33,"0.2",1.7,0,0,0,2,0.02,"0.44","1.5",3.1,0.10,"68.0","26",0.53,-,2,-,0.4
10413,1512,＜貝類＞ しじみ 水煮,403,95,76.0,12.3,"15.4",1.2,"130",2.7,5.5,5.0,"8.7","0",-,5.5,-,1.8,100,66,250,11,200,15.0,4.0,0.61,7.30,-,-,-,-,57,29,220,1,230,76,"0.6",3.9,0,0,0,5,0.02,"0.57","1.5",5.0,0.04,"82.0","37",0.35,-,1,-,0.3
10298,1513,＜貝類＞ たいらがい 貝柱 生,401,94,75.2,15.8,"21.8",0.1,"23",0.2,1.5,1.4,"7.7","0",-,1.5,-,1.3,260,260,16,36,150,0.6,4.3,0.01,0.03,-,-,-,-,Tr,-,-,-,Tr,Tr,"0",0.8,0,0,0,0,0.01,"0.09","1.5",4.6,0.06,"-","25",0.51,-,2,-,0.7
10299,1514,＜貝類＞ たにし 生,308,73,78.8,9.4,"13.0",0.3,"72",1.1,3.6,3.2,"7.9","0",-,3.6,-,3.5,23,70,1300,77,140,19.0,6.2,1.90,2.10,-,-,-,-,15,-,-,-,960,95,"0",0.5,0,0,0,1,0.11,"0.32","2.0",3.8,0.05,"18.0","28",0.52,-,Tr,-,0.1
10300,1515,＜貝類＞ つぶ 生,347,82,78.2,13.6,"17.8",0.1,"110",0.2,2.3,2.1,"6.6","0",-,2.3,-,1.5,380,160,60,92,120,1.3,1.2,0.06,0.04,-,-,-,-,0,-,-,-,19,2,"0",1.8,0,0,0,0,Tr,"0.12","0.9",3.4,0.11,"6.5","15",0.59,-,Tr,-,1.0
10301,1516,＜貝類＞ とこぶし 生,332,78,78.9,11.6,"16.0",0.1,"150",0.4,3.0,2.7,"7.7","0",-,3.0,-,1.7,260,250,24,55,160,1.8,1.4,0.30,0.06,-,-,-,-,0,7,54,0,58,5,"0",1.3,0,0,0,0,0.15,"0.14","1.7",4.0,0.07,"3.2","24",1.57,-,1,-,0.7
10303,1517,＜貝類＞ とりがい 斧足 生,343,81,78.6,10.1,"12.9",0.1,"22",0.3,6.9,6.2,"9.9","0",-,6.9,-,1.3,100,150,19,43,120,2.9,1.6,0.05,0.11,-,-,-,-,Tr,-,-,-,Tr,Tr,"0",1.2,0,0,0,0,0.16,"0.06","1.7",3.7,0.04,"10.0","18",1.10,-,1,-,0.3
10304,1518,＜貝類＞ ばい 生,345,81,78.5,11.8,"16.3",0.3,"110",0.6,3.1,2.8,"7.9","0",-,3.1,-,1.5,220,320,44,84,160,0.7,1.3,0.09,0.04,-,-,-,-,0,-,-,-,10,1,"0",2.2,0,0,0,0,0.03,"0.14","1.3",3.6,0.11,"4.3","14",1.02,-,2,-,0.6
10305,1519,＜貝類＞ ばかがい 生,238,56,84.6,8.5,"10.9",0.2,"120",0.5,2.4,2.2,"5.1","0",-,2.4,-,1.6,300,220,42,51,150,1.1,1.8,0.05,0.07,-,-,-,-,4,0,5,0,5,5,"0",0.8,0,0,0,0,0.14,"0.06","2.1",3.8,0.08,"7.9","18",0.79,-,1,-,0.8
10306,1520,＜貝類＞ （はまぐり類） はまぐり 生,149,35,88.8,4.5,"6.1",0.3,"25",0.6,1.8,1.6,"3.7","0",-,1.8,-,2.8,780,160,130,81,96,2.1,1.7,0.10,0.14,-,-,-,-,7,0,25,-,25,9,"0",0.6,0,0,0,Tr,0.08,"0.16","1.1",2.1,0.08,"28.0","20",0.37,-,1,-,2.0
10307,1521,＜貝類＞ （はまぐり類） はまぐり 水煮,337,79,78.6,10.6,"14.9",0.6,"79",1.5,2.9,2.6,"7.8","0",-,2.9,-,2.3,490,180,130,69,190,3.9,2.5,0.23,0.30,-,-,-,-,12,0,50,-,50,16,"0",2.8,0,0,0,1,0.15,"0.27","1.6",4.1,0.05,"20.0","23",0.45,-,1,-,1.2
10308,1522,＜貝類＞ （はまぐり類） はまぐり 焼き,299,70,79.8,9.5,"13.3",0.4,"65",1.0,2.8,2.5,"7.2","0",-,2.8,-,3.1,770,230,140,87,140,3.3,2.4,0.20,0.30,-,-,-,-,12,0,48,-,48,16,"0",2.3,0,0,0,Tr,0.13,"0.29","1.9",4.1,0.12,"33.0","27",0.57,-,2,-,2.0
10309,1523,＜貝類＞ （はまぐり類） はまぐり つくだ煮,895,211,40.1,-,"27.0",1.2,"100",2.8,-,-,"23.0","0",-,21.4,-,8.7,2800,320,120,95,340,7.2,4.2,0.20,1.03,-,-,-,-,Tr,-,-,-,Tr,Tr,"0",1.9,0,0,0,2,0.02,"0.10","1.6",6.1,0.11,"45.0","49",0.34,-,0,-,7.1
